wavelength (nm),1090 p transmit,1090 p reflect,1090 s transmit,1090 s reflect,3070 p transmit,3070 p reflect,3070 s transmit,3070 s reflect,5050 p transmit,5050 p reflect,5050 s transmit,5050 s reflect,7030 p transmit,7030 p reflect,7030 s transmit,7030 s reflect,9010 p transmit,9010 p reflect,9010 s transmit,9010 s reflect
271,0.680013305,0.742157508,0.684866476,0.066613249,0.70756837,0.732829362,0.227212369,0.74232575,1.546438158,2.150165319,1.224225789,2.121494383,0.722532779,0.67112845,0.678816757,0.708966635,0.735436817,0.72954201,0.00822788,0.726308275
272,0.669834983,0.093611658,0.618600965,0.668051296,0.546804249,0.706898163,0.685642499,0.720922036,1.479721695,2.718784154,1.285191953,2.200299203,0.685823236,0.700640173,0.133625493,0.354774028,0.694000433,0.705075854,0.700420546,0.498546243
273,0.693037386,0.495388359,0.744303592,0.722705333,0.733455809,0.933817527,0.682979088,0.719688111,1.153868347,2.305496067,1.039451856,2.399189919,0.683251441,0.670172797,0.190672994,0.541687787,0.713591968,0.742053305,0.426939547,0.674503107
274,0.731584562,0.669190109,0.518956959,0.687439819,0.726288862,0.740571575,0.668342404,0.676546676,1.206920996,2.632726848,1.046904217,2.231310159,0.703909828,0.715979294,0.712566295,0.671069459,0.697755308,0.710782454,0.673674595,0.723920133
275,0.743192165,0.672539504,0.660089433,0.700952747,0.682870096,0.489649594,0.734422141,0.685292897,1.716813922,2.181716055,1.551217079,2.138822064,0.640386879,0.708581179,0.695614653,0.36531201,0.389946878,0.727367916,0.307211816,0.106162563
276,0.691228936,0.264349878,0.709519222,0.744136763,0.668958967,0.748087041,0.69820293,0.699710827,1.320852369,2.140639439,1.173700005,2.176683039,0.684869837,0.570522785,0.720592586,0.673456731,0.716411778,0.75398974,0.714831945,0.679211734
277,0.673277154,0.500469208,0.531217158,0.677546958,0.696985984,0.734107825,0.699476981,0.144163936,1.587666333,2.215853468,1.472274602,2.055563629,0.682312891,0.685658678,0.428833008,0.676431685,0.186269283,0.666973765,0.694393624,0.700887521
278,0.697672477,0.691516086,0.728196132,0.614116013,0.745312875,0.742854617,0.709954728,0.69243241,1.136341229,2.433998078,1.26003778,2.521281898,0.732316828,0.734544219,0.731451405,0.715154409,0.712001861,0.730244119,0.742469767,0.746528784
279,0.681530206,0.671351455,0.703503434,0.712198234,0.678111487,0.684969524,0.677876519,0.745718951,1.553341746,2.709415317,1.422001123,2.221401423,0.732725844,0.667061468,0.691411336,0.729531333,0.683618861,0.916248486,0.698138675,0.730929745
280,0.747477468,0.672013232,0.261576891,0.69355145,0.510124564,0.677032869,0.196240127,0.717409915,1.023487335,2.261561126,1.149460733,2.399495602,0.73492704,0.703252395,0.138491273,0.54069221,0.224590331,0.709857234,0.698296821,0.135860622
